n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,train_rmse,validation_rmse,train_mae,validation_mae
300,0.05,3,10,0.8,19.159102826834857,24.699238949654195,13.309036370956049,19.073675505873723
200,0.05,3,5,1.0,20.747749180409194,25.695511299066325,14.370047147606416,19.73631419021492
300,0.03,3,10,0.8,20.801921284303905,25.704370419678316,14.44196446866714,19.807524965749387
100,0.05,3,5,1.0,23.147921053127682,27.588525333879627,16.11050736348884,21.053471769134482
200,0.05,2,5,1.0,23.503444779902516,27.716546769212556,16.270009337647576,20.827708465691636
200,0.03,2,5,1.0,24.99843060565846,29.213104434889292,17.498082458279704,22.037183807922833
100,0.05,2,5,1.0,25.599388146568824,29.710850581437604,17.974476248910705,22.405075745497154
100,0.03,2,5,1.0,27.39030471447304,31.597941400716365,19.482571744202414,23.792743874785618
