n_neighbors,weights,p,train_rmse,validation_rmse,train_mae,validation_mae
25,distance,2,1.1671527206472127e-05,25.278480796963727,3.943141398620809e-06,19.46668278525768
25,distance,1,0.0,25.30511718121905,0.0,19.445676049344705
25,uniform,2,21.24057052496619,25.35901297790595,15.100470808033627,19.537139213602547
25,uniform,1,20.058367156956457,25.37378034362782,13.884896777206913,19.506193411264615
50,distance,2,2.1988722729775488e-05,25.433744954839845,7.591706983234034e-06,19.73400439563639
50,distance,1,0.0,25.494675237862996,0.0,19.773403123775406
50,uniform,2,22.530469252254008,25.547250848767696,16.29149556282111,19.828990435706693
50,uniform,1,21.205176051564884,25.607381374740633,14.91900794021485,19.875451647183848
75,distance,2,3.221184993499363e-05,25.935772272555106,1.1235406343235772e-05,20.184841175026104
75,distance,1,0.0,26.079404141019968,0.0,20.290164371682188
75,uniform,2,23.471909252965528,26.11052074208924,17.1411128756033,20.333602550478215
75,uniform,1,21.88596219879223,26.273763779363282,15.607778919508016,20.46148352816153
100,distance,2,4.220539108478634e-05,26.443911716918254,1.4862068993719903e-05,20.599731389264136
100,distance,1,0.0,26.5399524894263,0.0,20.699814250004632
100,uniform,2,24.301122536603128,26.678787404312548,17.85565670247548,20.791708820403823
100,uniform,1,22.482839720053768,26.78446072925222,16.181621672115835,20.911878852284804
150,distance,1,0.0,27.346698066297062,0.0,21.452891268974916
150,distance,2,6.18121718060357e-05,27.41050359898324,2.201544711791242e-05,21.46715753624122
150,uniform,1,23.542915629023632,27.687871980385562,17.14073890705278,21.744780729720155
150,uniform,2,25.490379279911128,27.760217631141273,18.899538844776583,21.763506907545164
200,distance,1,0.0,28.031442211164066,0.0,22.041754455905654
200,distance,2,8.157838065803702e-05,28.416040458959078,2.9242049835448447e-05,22.376732713938228
200,uniform,1,24.4617417085523,28.454664947587943,17.932254787482485,22.398157279489904
200,uniform,2,26.487972271307207,28.89785642668649,19.762595749649694,22.79025717321998
