start_station_id,time_idx,tempmax,humidity,precip,precipcover,cloudcover,windspeed,visibility,sealevelpressure,uvindex,sunset_minutes,month,weekday,year,snow,snowdepth,total_rentals
31266.0,9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8,1209,5,6,2020,0.0,0.0,56
31281.0,9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8,1209,5,6,2020,0.0,0.0,49
31288.0,9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8,1209,5,6,2020,0.0,0.0,104
31289.0,9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8,1209,5,6,2020,0.0,0.0,72
31600.0,9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8,1209,5,6,2020,0.0,0.0,17
31603.0,9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8,1209,5,6,2020,0.0,0.0,74
31613.0,9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8,1209,5,6,2020,0.0,0.0,24
31623.0,9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8,1209,5,6,2020,0.0,0.0,14
31627.0,9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8,1209,5,6,2020,0.0,0.0,36
31101.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,14
31125.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,11
31200.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,11
31201.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,26
31203.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,19
31214.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,14
31229.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,18
31247.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,26
31248.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,13
31258.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,17
31266.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,25
31281.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,17
31288.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,18
31289.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,18
31600.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,15
31603.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,22
31613.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,20
31623.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,10
31627.0,10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4,1210,5,0,2020,0.0,0.0,15
31101.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,19
31125.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,11
31200.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,13
31201.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,23
31202.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,7
31203.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,11
31214.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,21
31229.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,32
31247.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,44
31248.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,42
31258.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,42
31266.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,24
31281.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,29
31288.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,35
31289.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,21
31600.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,18
31603.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,23
31613.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,18
31623.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,14
31627.0,11.0,17.1,42.6,0.0,0.0,62.9,26.4,16.0,1021.2,5,1211,5,1,2020,0.0,0.0,23
31101.0,12.0,21.1,45.9,0.0,0.0,28.4,16.7,16.0,1025.5,8,1212,5,2,2020,0.0,0.0,23
