time_idx,tempmax,humidity,precip,precipcover,cloudcover,windspeed,visibility,sealevelpressure,uvindex,sunset_minutes,month,weekday,year,snow,snowdepth,total_rentals_lag_1,total_rentals_lag_7,station_31125.0,station_31200.0,station_31201.0,station_31202.0,station_31203.0,station_31214.0,station_31229.0,station_31247.0,station_31248.0,station_31258.0,station_31266.0,station_31281.0,station_31288.0,station_31289.0,station_31600.0,station_31603.0,station_31613.0,station_31623.0,station_31627.0,total_rentals,split,start_station_id_raw
7.0,19.9,56.5,3.255,20.83,62.9,40.0,15.9,1008.3,2.0,1207.0,5.0,4.0,2020.0,0.0,0.0,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,train,31627.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,12.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,train,31101.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,14.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,train,31125.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,11.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,train,31200.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,12.0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,train,31201.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,7.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,train,31203.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,train,31214.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,22.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,train,31229.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,8.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,train,31247.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,7.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,train,31248.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,9.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,train,31258.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,19.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,train,31266.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,19.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,train,31281.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,6.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,train,31288.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,13.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33,train,31289.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,9.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22,train,31600.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,27.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31,train,31603.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,14.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,train,31613.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,train,31623.0
8.0,10.6,41.9,0.0,0.0,40.5,40.8,16.0,1017.5,5.0,1208.0,5.0,5.0,2020.0,0.0,0.0,10.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27,train,31627.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,23.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,train,31101.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,12.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,train,31125.0
9.0,18.3,44.9,0.0,0.0,22.4,30.4,16.0,1021.0,8.0,1209.0,5.0,6.0,2020.0,0.0,0.0,18.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,train,31200.0
