iteration,training_loss
1,2605.23238529268
2,2166.6582314789543
3,1912.5744018028895
4,1738.2372208540646
5,1593.673648942554
6,1467.4987049483084
7,1355.2254940782118
8,1256.104409007273
9,1167.0210022598285
10,1087.0674484848194
11,1014.8631925460845
12,949.5066530930105
13,890.1504862447279
14,836.0519550649543
15,785.5691254449724
16,739.5056923635328
17,697.556745600635
18,659.5730722820377
19,624.9147425400497
20,594.0350776195531
21,565.6992790449207
22,539.9112981833092
23,516.1953674968826
24,494.5686220169485
25,474.6013013185779
26,456.4756073715113
27,439.04858228380175
28,422.79578735678825
29,408.34606785852463
30,393.83350819322555
31,380.2647017381691
32,367.95077370513894
33,356.50361870883523
34,346.034402924295
35,334.88360873821733
36,324.67992675314446
37,315.697567724087
38,306.4083647694917
39,297.8540408240317
40,289.47381602998774
41,281.65174945533624
42,274.11983347650516
43,267.16812983810513
44,260.5472697810857
45,253.38409612873332
46,247.4718370707226
47,241.44622448316994
48,236.01822938282746
49,230.41409742695657
50,225.42611369768457
51,220.3680594469259
52,215.39249871587103
53,210.70946779340096
54,206.8272143851226
55,202.59025896023547
56,200.10215135093884
57,195.4064961217428
58,191.666598648309
59,188.74466223296156
60,185.08589042967932
61,181.96541918151726
62,179.3943955886902
63,176.77442623425566
64,173.98599876541175
65,171.1840272481092
66,168.72375964945795
67,166.38817385250633
68,164.24646198716508
69,162.91713219227776
70,160.40952359137657
71,158.2455913079981
72,156.11441484268946
73,154.38992068049106
74,153.01402628416938
75,150.77060530744265
76,149.38519649778235
77,148.31619510409732
78,146.97592444880598
79,145.43556948268173
80,144.12390042799748
81,142.5366972264879
82,141.07867862251967
83,140.07884702498401
84,139.15220191016525
85,137.87686988174497
86,136.45588589320707
87,135.1352933966567
88,134.4582600043311
89,133.5137448839114
90,132.327877041839
91,131.6321728875798
92,130.72063436445188
93,129.34204670853592
94,128.98968896188822
95,127.42480278739873
96,127.618884572152
97,126.33850223159118
98,125.03783685259131
99,124.63108524445464
100,124.04524421143334
101,123.01776602052206
102,122.43450984464721
103,121.95463661263663
104,120.7141904568323
105,120.73997392869921
106,120.51039766301203
107,119.53893259069535
108,118.65027487076343
109,118.2628709047028
110,117.8207571731324
111,116.7731601531398
112,116.14570106043028
113,115.70350679268516
114,115.27436813683548
115,115.25997004773185
116,115.39962446236393
117,113.55420215146925
118,112.90227959980275
119,113.67397621024296
120,112.28902962701518
121,112.58149481636792
122,111.54144570263263
123,110.70450783451321
124,110.17784785832009
125,110.36095646408508
126,109.51091359434521
127,109.16588935696323
128,108.72297180441801
129,108.38586740750691
130,107.7988308558306
131,107.70788492532482
132,107.1262434854917
133,107.02590188128795
134,107.8789098077777
135,106.56519626292133
136,106.07462936963823
137,105.43597318521557
138,105.34711625302778
139,104.71544852913806
140,103.82237181142658
141,104.26984130131423
142,103.39515498890638
143,103.15043276441348
144,102.98709556534132
145,102.78313893559483
146,102.75407631329678
147,102.63124654536705
148,102.65402994553192
149,102.2184848414213
150,100.95640302579967
151,101.3344726440737
152,100.35315027031498
153,99.94146346213066
154,100.40330252328965
155,99.70148863113796
156,99.70924985353965
157,99.13551731410942
158,98.97506184448497
159,98.78078342508546
160,98.8059928890298
161,97.8995051229626
162,97.66597526636194
163,99.28085690010478
164,97.29387044078472
165,97.04121103252703
166,96.9741505445465
167,96.54267573455348
168,96.15908143942202
169,96.07972985736407
170,95.99608544578426
171,95.76281891626458
172,95.21973874264214
173,94.95083732124397
174,94.91707916626113
175,94.84087939872487
176,95.43706936857639
