weather_condition,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
Favorable,16.776923597655248,23.79650255093503,-7.824705234138629,93.76875,85.94404476586138,320,Gradient Boosting
Mixed,16.633808917691827,22.139561353756,-3.6848569753842004,102.67223127035831,98.98737429497412,2456,Gradient Boosting
Difficult,17.302380202919043,23.40374012370582,-6.037248049570185,81.29656233966136,75.25931429009118,1949,Gradient Boosting
Favorable,19.06378453150101,25.003190979117253,-12.42691768536891,93.76875,81.34183231463109,320,Neural Network
Mixed,18.770865061109976,24.140150435858292,-8.055747526473622,102.67223127035831,94.61648374388469,2456,Neural Network
Difficult,19.01264289139191,24.417655761315135,-6.378954848027519,81.29656233966136,74.91760749163386,1949,Neural Network
Favorable,16.577006264474882,23.482881391749906,-4.682236961940108,93.76875,89.08651303805989,320,Lasso
Mixed,17.266143719836613,22.903655992835493,-0.3569684580072485,102.67223127035831,102.31526281235107,2456,Lasso
Difficult,18.614443002685032,25.069872280912396,4.292810657237008,81.29656233966136,85.58937299689838,1949,Lasso
