alpha,train_rmse,validation_rmse,train_mae,validation_mae,non_zero_coefficients
0.001,28.227171936851253,32.893931552321106,20.07954938929654,26.102596366860528,16
0.01,28.229717937254893,32.87763172131481,20.079033811158148,26.08802648870768,15
0.1,28.242821241655417,32.67560668622018,20.07143810492305,25.891037213106117,15
0.5,28.294246919439633,32.09562187775748,20.048841444741047,25.292206071898175,10
1.0,28.405514411833476,31.64303637998016,20.073762137205406,24.78393013181459,10
2.0,28.785324478981174,31.125342806656487,20.331871944751942,24.035141820275946,9
5.0,30.633198214933547,32.67891259990426,21.994533724282228,24.607737053532823,5
10.0,34.73250674278939,40.639923445026156,25.850370260087047,31.476733522632895,3
