n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,train_rmse,validation_rmse,train_mae,validation_mae
200,0.05,2,5,1.0,25.882384006233924,29.722961964297976,18.26607366268231,22.138400621775705
100,0.05,3,5,1.0,25.794830098369847,29.900599057747552,18.177774285635795,22.243042698030635
300,0.03,3,10,0.8,25.280340839066373,29.909360024836765,17.808813359712836,22.232296534464123
200,0.03,2,5,1.0,26.37227708752012,30.28341357914115,18.60092467668074,22.48085680841557
100,0.05,2,5,1.0,26.603452152350062,30.620805959797128,18.77390922809213,22.70946795609955
200,0.05,3,5,1.0,25.24172051498486,30.63056546326294,17.775153877536713,22.652558551939894
100,0.03,2,5,1.0,27.651357880615855,32.05129579361345,19.5964483010626,23.737724825229954
300,0.05,3,10,0.8,24.9896627323194,32.26198963727715,17.605955849546746,23.824806548057072
