hidden_layer_sizes,activation,alpha,learning_rate_init,train_rmse,validation_rmse,train_mae,validation_mae
[128],tanh,0.1,0.001,14.212163223458388,25.554099554752547,9.926222562150546,19.06460025528714
[64],tanh,0.0001,0.001,15.389042021559698,25.999610582893293,10.73154836213225,19.81295731615366
[128],tanh,0.01,0.001,13.964706010722875,26.07094105239164,9.78198625530265,19.447616466601925
[256],tanh,0.0001,0.001,13.099862180168651,26.14628894660168,9.011429141091254,19.962559886467954
[128],tanh,0.0001,0.001,13.83334744253662,26.217422246928486,9.707805666840798,19.56533773464381
[128],tanh,0.001,0.001,13.834040952202374,26.22483930161118,9.707679426316199,19.56839634246925
"[256, 128]",tanh,0.01,0.001,11.897041176731317,29.427208614940486,8.12114294287623,22.303354499986483
"[256, 128]",tanh,0.0001,0.001,11.884875313680238,29.504162555637297,8.12202631622888,22.3952210559539
"[128, 64]",tanh,0.0001,0.001,12.894024426582236,30.490711499982503,8.928512008377687,23.603068954439138
