n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,train_rmse,validation_rmse,train_mae,validation_mae
200,,5,10,sqrt,16.936111205746094,25.597947898147744,11.916352716624324,19.491917745050515
100,,5,10,sqrt,17.019331648497253,25.660673511616544,11.96879990971715,19.52726228409326
200,12.0,5,10,sqrt,20.318201577274795,27.12535929007691,14.385069823649927,20.6975974005278
100,12.0,5,10,sqrt,20.408917613639712,27.286649444499382,14.425032915718212,20.771116430243055
200,12.0,10,20,sqrt,20.92411302213343,27.425583315726428,14.744295153610713,20.84329962363316
100,12.0,10,20,sqrt,21.000894661123635,27.630430290243922,14.795452668013969,20.997104279314854
100,8.0,5,10,sqrt,23.852970086823348,29.325252361144276,16.85617050219954,22.1758420352078
200,8.0,5,10,sqrt,23.97551869068663,29.550839491962435,16.934907934108995,22.25953750875408
