folder_name,display_name,test_rmse_without_lag,test_rmse_with_lag,test_rmse_delta_with_minus_without,test_rmse_improvement_percent,test_mae_without_lag,test_mae_with_lag,test_mae_delta_with_minus_without,test_r2_without_lag,test_r2_with_lag,test_r2_delta_with_minus_without,validation_rmse_without_lag,validation_rmse_with_lag,validation_rmse_delta_with_minus_without
01_linear_regression,Linear,35.74796216156461,24.968685913705656,-10.779276247858952,30.153540498732497,27.66673682190554,19.038399158115418,-8.628337663790123,0.1693047164534804,0.5947429878780885,0.4254382714246081,31.56373711173364,24.026315289620964,-7.537421822112677
02_ridge_regression,Ridge,34.86997665978178,24.919740965427863,-9.950235694353914,28.535251948792627,26.913518529014855,18.995752764903063,-7.917765764111792,0.209608103690958,0.596330243408981,0.386722139718023,30.95008983973355,23.81379670462979,-7.1362931351037595
03_lasso_regression,Lasso,32.90818683813494,23.85923638623661,-9.048950451898328,27.497566172233313,25.446628260157148,17.77562759635636,-7.671000663800786,0.2960414723594023,0.629956955441658,0.33391548308225566,30.04185128463958,23.152364983985105,-6.889486300654475
06_random_forest,Random Forest,29.018640507267975,23.015237184408505,-6.003403322859469,20.688092956511397,22.483105279863025,17.165365160035705,-5.31774011982732,0.4526144984263341,0.6556737955566567,0.2030592971303226,25.597947898147744,21.575830132943956,-4.022117765203788
07_gradient_boosting,Gradient Boosting,28.244301943703725,22.78297211191439,-5.461329831789335,19.336041098395018,22.425230760755703,16.919278152082544,-5.505952608673159,0.4814377992540491,0.6625884673252032,0.18115066807115404,24.50583288503099,21.476270657206385,-3.0295622278246057
04_decision_tree,Decision Tree,30.57555289584047,26.67575172655365,-3.899801169286821,12.754638264668483,23.390684769214637,19.466709763113595,-3.923975006101042,0.3923020046354799,0.5374352872981776,0.1451332826626977,27.20082843836552,24.599465095886124,-2.601363342479395
05_knn_regressor,KNN,27.861958469180593,25.365010807058464,-2.4969476621221283,8.961852645369916,21.613677439632607,19.547600068708984,-2.0660773709236224,0.4953823385703862,0.5817756942514585,0.08639335568107226,25.278480796963727,22.68400838744992,-2.5944724095138056
08_neural_network,Neural Network,26.26211766504302,24.31414273840152,-1.9479749266414998,7.417432788500563,20.121731788266757,18.890433150368093,-1.2312986378986643,0.551669122000017,0.6157117644057912,0.06404264240577417,25.554099554752547,22.68486784543178,-2.8692317093207684
00_dummy_regressor,Dummy,48.017361941966215,48.017361941966215,0.0,0.0,37.69490944497577,37.69490944497577,0.0,-0.4987726462569104,-0.4987726462569104,0.0,45.45745494052036,45.45745494052036,0.0
