month_part,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
Beginning,16.13915046762136,21.462878453745137,-3.5023058449713256,89.65521978021978,86.15291393524845,1456,Gradient Boosting
Middle,16.8225580693302,23.08594261948893,-5.036032635083436,92.87147335423198,87.83544071914855,1595,Gradient Boosting
End,17.689967782049976,23.592901471682552,-6.086428609225756,96.74313022700119,90.65670161777544,1674,Gradient Boosting
Beginning,18.152968713372193,23.237270666148284,-5.976852176860089,89.65521978021978,83.67836760335969,1456,Neural Network
Middle,18.15365183819988,23.612796095081556,-8.107231989224134,92.87147335423198,84.76424136500785,1595,Neural Network
End,20.233870673172362,25.84072216359053,-8.698196410288004,96.74313022700119,88.0449338167132,1674,Neural Network
Beginning,16.444746441437545,21.646063106289244,3.3909441633447153,89.65521978021978,93.04616394356451,1456,Lasso
Middle,18.71655083779879,25.400544481630632,0.1643490822008436,92.87147335423198,93.03582243643282,1595,Lasso
End,18.036673230443057,24.176797232519924,0.47330114834411036,96.74313022700119,97.21643137534531,1674,Lasso
