year_part,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
Beginning,16.598816364852496,22.831012277707416,-6.567607300325129,79.52582781456954,72.9582205142444,2265,Gradient Boosting
Middle,17.214337480568744,22.73865026242331,-3.432878178798305,105.89024390243902,102.45736572364072,2460,Gradient Boosting
End,,,,,,0,Gradient Boosting
Beginning,18.224306021220585,23.5279003995296,-10.227531323478138,79.52582781456954,69.2982964910914,2265,Neural Network
Middle,19.503757519278306,25.0162200441572,-5.296241518481674,105.89024390243902,100.59400238395735,2460,Neural Network
End,,,,,,0,Neural Network
Beginning,17.16902774586658,24.02899232488125,-2.1744909184276344,79.52582781456954,77.3513368961419,2265,Lasso
Middle,18.334143312356105,23.70186166401542,4.437755910775157,105.89024390243902,110.32799981321418,2460,Lasso
End,,,,,,0,Lasso
