target,feature,correlation,abs_correlation
casual_count,tempmax,0.3551783213383719,0.3551783213383719
casual_count,temp,0.34241071242012205,0.34241071242012205
casual_count,feelslike,0.3410578698543943,0.3410578698543943
casual_count,feelslikemax,0.34050046808139084,0.34050046808139084
casual_count,sunset_minutes,0.32667259388375924,0.32667259388375924
casual_count,feelslikemin,0.32107205152518303,0.32107205152518303
casual_count,daylight_minutes,0.3134499865386629,0.3134499865386629
casual_count,tempmin,0.3130197108521191,0.3130197108521191
casual_count,uvindex,0.2846850247774662,0.2846850247774662
casual_count,dew,0.2682879360274512,0.2682879360274512
casual_count,solarradiation,0.257589223687024,0.257589223687024
casual_count,solarenergy,0.2573187997276032,0.2573187997276032
casual_count,is_weekend,0.25405949356946417,0.25405949356946417
casual_count,sunrise_minutes,-0.24727830913573096,0.24727830913573096
casual_count,weekday,0.2269639032916337,0.2269639032916337
casual_count,precipcover,-0.18359285439349704,0.18359285439349704
casual_count,visibility,0.15214648218516827,0.15214648218516827
casual_count,year,0.14156962241332582,0.14156962241332582
casual_count,severerisk,0.13425993433273,0.13425993433273
casual_count,precip,-0.13042593406535383,0.13042593406535383
casual_count,snowdepth,-0.1119123177343365,0.1119123177343365
casual_count,windgust,-0.10506105171823851,0.10506105171823851
casual_count,cloudcover,-0.10278441769086454,0.10278441769086454
casual_count,precipprob,-0.09870654974854914,0.09870654974854914
casual_count,windspeed,-0.09297327015771485,0.09297327015771485
casual_count,snow,-0.08068674966104321,0.08068674966104321
casual_count,humidity,-0.0679121367855482,0.0679121367855482
casual_count,sealevelpressure,-0.059985525579823874,0.059985525579823874
casual_count,month,0.05017811681590665,0.05017811681590665
casual_count,winddir,-0.018089388870869496,0.018089388870869496
casual_count,day,0.00048093144086339444,0.00048093144086339444
classic_bike_casual_count,year,0.33757394440066774,0.33757394440066774
classic_bike_casual_count,uvindex,0.3201290417343464,0.3201290417343464
classic_bike_casual_count,solarenergy,0.31526706035520174,0.31526706035520174
classic_bike_casual_count,solarradiation,0.31521934151023295,0.31521934151023295
classic_bike_casual_count,tempmax,0.2897365095128136,0.2897365095128136
classic_bike_casual_count,sunset_minutes,0.2762936416993698,0.2762936416993698
classic_bike_casual_count,feelslikemax,0.2735148483517591,0.2735148483517591
classic_bike_casual_count,temp,0.2727923896866771,0.2727923896866771
classic_bike_casual_count,feelslike,0.27074891765388087,0.27074891765388087
classic_bike_casual_count,daylight_minutes,0.2613138199114412,0.2613138199114412
classic_bike_casual_count,feelslikemin,0.25118066201795375,0.25118066201795375
classic_bike_casual_count,tempmin,0.2421524970565063,0.2421524970565063
classic_bike_casual_count,is_weekend,0.21835204006384468,0.21835204006384468
classic_bike_casual_count,dew,0.19729269956819565,0.19729269956819565
classic_bike_casual_count,sunrise_minutes,-0.19707450323860876,0.19707450323860876
classic_bike_casual_count,weekday,0.1943591382363995,0.1943591382363995
classic_bike_casual_count,precipcover,-0.17103553133611415,0.17103553133611415
classic_bike_casual_count,precip,-0.13256532552691394,0.13256532552691394
classic_bike_casual_count,visibility,0.12983023141716432,0.12983023141716432
classic_bike_casual_count,severerisk,0.1258947234230284,0.1258947234230284
classic_bike_casual_count,humidity,-0.09974278767115752,0.09974278767115752
classic_bike_casual_count,precipprob,-0.09865631936624136,0.09865631936624136
classic_bike_casual_count,snowdepth,-0.09825880518650423,0.09825880518650423
classic_bike_casual_count,windgust,-0.08632008357807394,0.08632008357807394
classic_bike_casual_count,sealevelpressure,-0.07193976936407552,0.07193976936407552
classic_bike_casual_count,snow,-0.07031180665552261,0.07031180665552261
classic_bike_casual_count,windspeed,-0.06129915970116626,0.06129915970116626
classic_bike_casual_count,cloudcover,-0.05607723745579073,0.05607723745579073
classic_bike_casual_count,month,0.010364709542133371,0.010364709542133371
classic_bike_casual_count,day,0.004014299357493107,0.004014299357493107
classic_bike_casual_count,winddir,-0.0008777456149779222,0.0008777456149779222
classic_bike_count,year,0.4919366769699888,0.4919366769699888
classic_bike_count,uvindex,0.3975243535198266,0.3975243535198266
classic_bike_count,solarenergy,0.3863140443719862,0.3863140443719862
classic_bike_count,solarradiation,0.38613513871225824,0.38613513871225824
classic_bike_count,tempmax,0.30765927329335013,0.30765927329335013
classic_bike_count,feelslikemax,0.2887233691943343,0.2887233691943343
classic_bike_count,temp,0.2854918736765418,0.2854918736765418
classic_bike_count,feelslike,0.284400408005761,0.284400408005761
classic_bike_count,sunset_minutes,0.2705054836689816,0.2705054836689816
classic_bike_count,feelslikemin,0.2606017573859479,0.2606017573859479
classic_bike_count,daylight_minutes,0.2509918989715431,0.2509918989715431
classic_bike_count,tempmin,0.2476743732473051,0.2476743732473051
classic_bike_count,precipcover,-0.2265595569344045,0.2265595569344045
classic_bike_count,dew,0.19725669133182058,0.19725669133182058
classic_bike_count,precip,-0.18790398035432207,0.18790398035432207
classic_bike_count,sunrise_minutes,-0.17753520369424414,0.17753520369424414
classic_bike_count,visibility,0.16202471831198867,0.16202471831198867
classic_bike_count,severerisk,0.14345909371556007,0.14345909371556007
classic_bike_count,precipprob,-0.13732935263978266,0.13732935263978266
classic_bike_count,humidity,-0.13408583047876158,0.13408583047876158
classic_bike_count,snowdepth,-0.12564366432730756,0.12564366432730756
classic_bike_count,windgust,-0.11520482906491711,0.11520482906491711
classic_bike_count,is_weekend,0.10774551869801238,0.10774551869801238
classic_bike_count,weekday,0.10356584326806777,0.10356584326806777
classic_bike_count,snow,-0.09533766740738886,0.09533766740738886
classic_bike_count,windspeed,-0.082628704369821,0.082628704369821
