n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,train_rmse,validation_rmse,train_mae,validation_mae
200,,5,10,sqrt,16.9943472866241,25.74616736072485,11.92475085224852,19.620761359038532
100,,5,10,sqrt,17.024681163315485,25.850585984245296,11.959830850114184,19.721929747432583
100,12.0,5,10,sqrt,20.338672436436067,27.224445005021554,14.37489296242122,20.741647018750303
200,12.0,5,10,sqrt,20.34259040798035,27.325661830122943,14.366071735833051,20.787843016633904
100,12.0,10,20,sqrt,20.925679063214115,27.6258375080521,14.703159883852644,21.040826489473442
200,12.0,10,20,sqrt,20.931201794174292,27.66523166509157,14.713124609215592,21.035790878480196
100,8.0,5,10,sqrt,24.01430072342416,29.64196591632556,16.92020451025514,22.274150551613225
200,8.0,5,10,sqrt,23.976241444805567,29.85392962019142,16.902655361786852,22.428161019596327
