hidden_layer_sizes,activation,alpha,learning_rate_init,train_rmse,validation_rmse,train_mae,validation_mae
[128],tanh,0.1,0.001,14.01716040467181,22.68486784543178,9.78295096141456,17.190539899472114
[128],tanh,0.0001,0.001,14.010077791097302,22.706885780814847,9.77824234035037,17.214367347497777
[128],tanh,0.001,0.001,14.010118181656576,22.707383659057218,9.778295401168476,17.21474253608756
[128],tanh,0.01,0.001,14.010528246954193,22.710221027841058,9.77873495917205,17.21657890500107
[64],tanh,0.0001,0.001,14.597186029722785,23.016180749410825,10.232570907615415,17.482884958220193
[256],tanh,0.0001,0.001,12.912004153824173,23.509755417057058,8.933198104786394,17.882590566739317
"[256, 128]",tanh,0.0001,0.001,11.906504730905588,23.551844607276156,8.170852983434479,17.786806584495512
"[256, 128]",tanh,0.01,0.001,11.903403686907673,23.568738388877726,8.161014752692422,17.761754271218667
"[128, 64]",tanh,0.0001,0.001,11.904010864069598,25.907159001483826,8.273936331945926,19.8830261002078
