alpha,train_rmse,validation_rmse,train_mae,validation_mae
1.5,26.903856596216585,30.04185128463958,18.6554197652183,22.884220558957136
1.2,26.59438070680911,30.08550108890367,18.42656409691722,22.94671867642296
1.0,26.40370735505175,30.19951999255993,18.311362295036517,23.044866963621722
2.0,27.51492646947517,30.237129049241748,19.184996857355674,22.9999901457991
0.8,26.238191391855615,30.342224465222227,18.22877753632653,23.153197432705138
0.6,26.106048432896543,30.52305808839877,18.184134156451396,23.287921396940792
3.0,28.809308044040822,30.83911121645564,20.36314510382072,23.39241660835687
0.3,25.974722513407897,30.882707731045784,18.18997706644801,23.563527370071412
0.1,25.91987647778343,31.30765429079368,18.236816508700006,23.920600267345637
